Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
,PRJNA415636,SRX3768858,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/008/SRR6811818/SRR6811818_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/008/SRR6811818/SRR6811818_2.fastq.gz
,PRJNA415636,SRX3768857,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/007/SRR6811817/SRR6811817_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/007/SRR6811817/SRR6811817_2.fastq.gz
,PRJNA415636,SRX3768856,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/006/SRR6811816/SRR6811816_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR681/006/SRR6811816/SRR6811816_2.fastq.gz
,PRJNA415636,SRX3320767,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR621/002/SRR6211492/SRR6211492_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR621/002/SRR6211492/SRR6211492_2.fastq.gz
,PRJNA415636,SRX3320766,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR621/001/SRR6211491/SRR6211491_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR621/001/SRR6211491/SRR6211491_2.fastq.gz
,PRJNA415636,SRX3320765,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR621/000/SRR6211490/SRR6211490_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR621/000/SRR6211490/SRR6211490_2.fastq.gz
Alejandro Schmieder,PRJNA305195,SRX1465951,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/009/SRR2976529/SRR2976529_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/009/SRR2976529/SRR2976529_2.fastq.gz
,PRJNA305195,SRX1465950,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/008/SRR2976528/SRR2976528_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/008/SRR2976528/SRR2976528_2.fastq.gz
,PRJNA305195,SRX1465949,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/007/SRR2976527/SRR2976527_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/007/SRR2976527/SRR2976527_2.fastq.gz
,PRJNA305195,SRX1465948,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/006/SRR2976526/SRR2976526_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/006/SRR2976526/SRR2976526_2.fastq.gz
