"This sheet reports the previously-filtered control samples by strain (e.g., AB-type zebrafish are grouped together).",,,,,,
Name,Study #,Sample #,Uploaded to server?,Paired end?,File_1_DD,File_2_DD
,PRJEB12982,ERS1079178,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442596/ERR1442596_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442596/ERR1442596_2.fastq.gz
,PRJEB12982,ERS1079176,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442595/ERR1442595_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/005/ERR1442595/ERR1442595_2.fastq.gz
,PRJEB12982,ERS1079175,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442594/ERR1442594_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/004/ERR1442594/ERR1442594_2.fastq.gz
,PRJEB12982,ERS1079174,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442593/ERR1442593_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/003/ERR1442593/ERR1442593_2.fastq.gz
,PRJEB12982,ERS1079172,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442592/ERR1442592_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/002/ERR1442592/ERR1442592_2.fastq.gz
,PRJEB12982,ERS1079171,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442591/ERR1442591_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/001/ERR1442591/ERR1442591_2.fastq.gz
Alejandro Schmieder,PRJEB7244,ERS626227,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830319/ERR830319_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830319/ERR830319_2.fastq.gz
,PRJEB7244,ERS626226,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830318/ERR830318_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830318/ERR830318_2.fastq.gz
,PRJEB7244,ERS626225,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830317/ERR830317_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830317/ERR830317_2.fastq.gz
,PRJEB7244,ERS626224,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830316/ERR830316_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830316/ERR830316_2.fastq.gz
,PRJEB7244,ERS626223,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830315/ERR830315_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830315/ERR830315_2.fastq.gz
,PRJEB7244,ERS626222,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830314/ERR830314_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830314/ERR830314_2.fastq.gz
,PRJEB7244,ERS626221,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830313/ERR830313_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830313/ERR830313_2.fastq.gz
,PRJEB7244,ERS626220,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830312/ERR830312_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830312/ERR830312_2.fastq.gz
,PRJEB7244,ERS626219,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830311/ERR830311_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830311/ERR830311_2.fastq.gz
,PRJEB7244,ERS626218,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830310/ERR830310_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830310/ERR830310_2.fastq.gz
,PRJEB7244,ERS626217,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830309/ERR830309_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830309/ERR830309_2.fastq.gz
,PRJEB7244,ERS626216,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830308/ERR830308_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830308/ERR830308_2.fastq.gz
,PRJEB7244,ERS626215,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830307/ERR830307_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830307/ERR830307_2.fastq.gz
,PRJEB7244,ERS626214,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830306/ERR830306_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830306/ERR830306_2.fastq.gz
,PRJEB7244,ERS626213,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830305/ERR830305_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830305/ERR830305_2.fastq.gz
,PRJEB7244,ERS626212,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830304/ERR830304_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830304/ERR830304_2.fastq.gz
,PRJEB7244,ERS626211,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830303/ERR830303_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830303/ERR830303_2.fastq.gz
,PRJEB7244,ERS626210,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830302/ERR830302_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830302/ERR830302_2.fastq.gz
,PRJEB7244,ERS626209,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830301/ERR830301_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830301/ERR830301_2.fastq.gz
,PRJEB7244,ERS626208,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830300/ERR830300_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830300/ERR830300_2.fastq.gz
,PRJEB7244,ERS626207,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830299/ERR830299_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830299/ERR830299_2.fastq.gz
,PRJEB7244,ERS626206,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830298/ERR830298_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830298/ERR830298_2.fastq.gz
,PRJEB7244,ERS626205,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830297/ERR830297_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830297/ERR830297_2.fastq.gz
,PRJEB7244,ERS626204,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830296/ERR830296_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830296/ERR830296_2.fastq.gz
,PRJEB7244,ERS626203,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830295/ERR830295_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830295/ERR830295_2.fastq.gz
,PRJEB7244,ERS626202,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830294/ERR830294_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830294/ERR830294_2.fastq.gz
,PRJEB7244,ERS626201,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830293/ERR830293_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830293/ERR830293_2.fastq.gz
,PRJEB7244,ERS626200,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830292/ERR830292_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830292/ERR830292_2.fastq.gz
,PRJEB7244,ERS626199,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830291/ERR830291_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830291/ERR830291_2.fastq.gz
,PRJEB7244,ERS626198,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830290/ERR830290_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830290/ERR830290_2.fastq.gz
,PRJEB7244,ERS626197,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830289/ERR830289_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830289/ERR830289_2.fastq.gz
,PRJEB7244,ERS626196,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830288/ERR830288_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830288/ERR830288_2.fastq.gz
,PRJEB7244,ERS626195,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830287/ERR830287_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830287/ERR830287_2.fastq.gz
,PRJEB7244,ERS626194,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830286/ERR830286_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830286/ERR830286_2.fastq.gz
,PRJEB7244,ERS626193,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830285/ERR830285_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830285/ERR830285_2.fastq.gz
,PRJEB7244,ERS626192,,Yes,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830284/ERR830284_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR830/ERR830284/ERR830284_2.fastq.gz
